LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2027,2027,0,44049.0,235.630845788082,270.14598251606725,0.0,17.0,17,118.42539605302028,1,,253.92934955290272,255.0,0.0,255.0,1.1188635E7,16.488654946017174,,,0.9985120124418284,15.388780216815796,0.28283636261084977,0.28094231758854754,126.8899706482742,110.39533338862105,-0.08094909632991801,1.1494142619379355,44059.499999999956,943.3902646786528,0.6221092343751579,0.9660793965772411,4.494398822308033
ID2024,2024,0,44599.0,235.13563144931922,270.24605612799786,0.0,18.0,18,119.14222685271196,1,,254.25082419430802,255.0,0.0,255.0,1.133679E7,13.801552015383104,,,0.9982472888417161,18.405742654681944,0.23670802827942072,0.23476478370826773,126.36900534519846,112.30579354569076,-0.06813975539576259,1.1252224961465251,44594.50000000007,895.0501275936896,0.6995140555319025,0.9694245777265728,4.238446536388164
ID2041,2041,0,44732.0,234.63591064715985,270.030327584858,0.0,19.0,19,119.33176535718032,1,,254.05367642127385,255.0,0.0,255.0,1.1364075E7,15.505558974416317,,,0.9985053594682006,16.37242974517646,0.36292188985981755,-0.04131364049937506,127.66303029689904,111.51917537116881,-0.050302880351542345,1.1447630407237024,44736.49999999996,938.335780688018,0.6384917841539368,0.9694766496911901,4.436365051248084
ID2068,2068,0,45182.0,234.60216136839932,270.3335879158181,0.0,20.0,20,119.91119288329257,1,,254.215349877139,255.0,0.0,255.0,1.148367E7,14.123544926974708,,,0.998372889489754,17.984745654267055,0.05129467833007738,-0.09354950873203197,127.53391429031915,112.65637747166072,-0.0513585803017945,1.1320612037467737,45172.0,954.0925736251296,0.6235885791478523,0.9701264952859568,4.489064605532497
ID2061,2061,0,45203.0,232.85352016102277,270.0360199951339,0.0,21.0,21,119.96294538004385,1,,254.1933771318601,255.0,0.0,255.0,1.149132E7,14.319313061953208,,,0.9984332269642103,17.737868307578434,-0.04548916284358034,-0.03916126269145096,127.39443004589391,112.85241954041292,-0.04819300033757437,1.128858650658114,45211.00000000007,965.7965096253131,0.6090917456743553,0.965252943625438,4.542171991785943
ID2053,2053,0,45341.0,233.59531631846832,270.0771236425776,0.0,22.0,22,120.15052689501776,1,,254.31973014088234,255.0,0.0,255.0,1.153518E7,13.153321306671975,,,0.9986596510545802,19.32205344369754,0.32298687203229853,-0.08522813509328311,127.20752127999418,112.56558246894798,-0.06902571274113806,1.130074739453201,45352.50000000006,957.1912168134345,0.6220333736055591,0.9658715791715484,4.494672873647924
ID2058,2058,0,46245.0,232.41355741569873,270.5954116468035,0.0,23.0,23,121.3112565590479,1,,254.32719133199248,255.0,0.0,255.0,1.1759835E7,13.081178828777318,,,0.9984830759765551,19.427465271192645,-0.10776862221710144,-0.45896360228046224,129.61792836128774,113.46714093299752,-0.05491715280435243,1.1423388947274813,46232.99999999984,902.942158751471,0.7125938623527128,0.973398039855565,4.19936760168452
ID2046,2046,0,46049.0,232.69535786166253,270.1714412927327,0.0,24.0,24,121.06041375971792,1,,254.22463783854224,255.0,0.0,255.0,1.1705265E7,14.03995890008919,,,0.9982296776863099,18.091178934883928,-0.05399993035163167,-0.5231885876412186,129.06663180787757,113.51634123068813,-0.11173477731357961,1.1369872426172378,46042.00000000003,908.3887043059576,0.7011655890355253,0.9777447441070297,4.233451950685439
ID2052,2052,0,46496.0,232.61160807081677,269.8120847220729,0.0,25.0,25,121.66758507086931,1,,254.3035933165602,255.0,0.0,255.0,1.182588E7,13.307987466909202,,,0.9988506901688579,19.09810729173458,0.31407103149803084,-0.40802008352794733,130.1836824678508,113.88076473359912,-0.0850057887110924,1.1431577823734238,46505.00000000011,893.3849242089475,0.732204297765213,0.9764111823803001,4.142750659871288
ID2049,2049,0,46420.0,233.0760105416604,270.76606561968157,0.0,26.0,26,121.5550352999223,1,,254.17056200590224,255.0,0.0,255.0,1.179936E7,14.519754214951762,,,0.9983012054700335,17.49027448621713,-0.07608356188461357,-0.2854830817057541,129.7348177654011,113.47130185347213,-0.07764086726437687,1.1433271289416453,46418.99999999993,989.3412823481824,0.5959548817859562,0.9659657264147985,4.591961531641964
